MEDIA_ID,MEDIA_NAME,CNT,TIME(2017/12/19 11:22:29.872),TIMETICK(f=2050785),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,
0,black,11,0.17792,153981389075,0.46541,0.44669,0.00000,0.17792,1,1,0.40103,0.45167,1,-0.61667,0.09000,0,,0.21435,0.44006,27.86723,1.09396,1,0.47118,0.40304,27.35575,1.10264,1,0,0.00000,10,,
0,black,46,0.74405,153982550103,0.41097,0.41452,0.19405,0.55000,2,1,0.46069,0.35777,1,-0.61667,0.09000,0,,0.22007,0.44047,20.57186,1.07545,1,0.47301,0.40301,7.28439,1.07545,0,0,0.00000,10,,
0,black,74,1.19691,153983478838,0.45773,0.36811,0.76031,0.43660,3,1,0.47337,0.37998,0,-0.61667,0.09000,0,,0.22198,0.44217,24.51263,1.09805,0,0.47301,0.40301,7.28439,1.09805,0,25,0.00000,10,,
0,black,164,2.65262,153986464162,0.44515,0.41832,1.21303,1.43959,4,1,0.49925,0.60478,0,-0.61667,0.09000,0,,0.22811,0.44429,22.65144,1.13196,0,0.47845,0.40803,11.19269,1.13196,0,26,0.00000,10,,
0,black,251,4.05975,153989349882,0.43051,0.44283,2.86278,1.19698,5,1,0.38916,0.43828,1,-0.61667,0.09000,0,,0.22703,0.44389,28.08670,1.07490,1,0.48266,0.40647,29.60818,1.06719,1,0,0.00000,10,,
0,black,285,4.60965,153990477620,0.51959,0.32740,4.36723,0.24242,6,1,0.56954,0.30059,1,-0.61667,0.09000,0,,0.23347,0.44155,28.33220,1.09805,1,0.48907,0.40501,28.90466,1.09805,1,0,0.00000,11,,
0,black,299,4.83611,153990942014,0.63182,0.42519,4.62578,0.21033,7,1,0.70851,0.52492,1,-0.61667,0.09000,0,,0.23837,0.44543,28.24862,1.09034,1,0.49375,0.40908,28.52267,1.09805,1,0,0.00000,11,,
0,black,311,5.03030,153991340283,0.67413,0.59070,4.85223,0.17807,8,1,0.62568,0.82687,0,-0.61667,0.09000,0,,0.23609,0.44785,20.49347,1.06719,0,0.49150,0.41500,13.14214,1.06719,0,28,0.00000,11,,
0,black,339,5.48328,153992269230,0.37910,0.37497,5.24045,0.24283,9,1,0.41714,0.42798,1,-0.61667,0.09000,0,,0.22618,0.44439,28.23007,1.09186,1,0.48169,0.40651,28.17822,1.09957,1,0,0.00000,12,,
1,cross,0,0.00000,153992302005,0.38075,0.37771,0.00000,0.00000,1,1,0.40724,0.42150,1,-0.61667,0.09000,0,,0.22611,0.44444,28.23368,1.10805,1,0.48164,0.40651,28.09605,1.11577,1,0,0.00000,12,,
1,cross,27,0.43680,153993197791,0.44568,0.43650,0.01620,0.42059,2,1,0.50145,0.42683,1,-0.61667,0.09000,0,,0.22975,0.44347,28.48990,1.08262,1,0.48556,0.40629,28.29228,1.09034,1,0,0.00000,12,,
1,cross,32,0.51770,153993363700,0.49259,0.42247,0.45293,0.06477,3,1,0.49180,0.43280,1,-0.61667,0.09000,0,,0.22965,0.44392,28.01445,1.11501,1,0.48537,0.40680,28.16401,1.11501,1,0,0.00000,12,,
2,NewMedia2,21,0.33958,153994093333,0.46772,0.44496,0.00000,0.33958,1,1,0.40927,0.45664,1,-0.61667,0.09000,0,,0.22855,0.44380,26.28093,1.06719,1,0.48375,0.40684,26.41014,1.06719,1,0,0.00000,12,,
2,NewMedia2,42,0.67924,153994789916,0.43518,0.43705,0.35564,0.32361,2,1,0.65884,0.42656,1,-0.61667,0.09000,0,,0.23640,0.44425,25.11910,1.10129,1,0.49082,0.40740,25.44091,1.09261,1,0,0.00000,11,,
2,NewMedia2,61,0.98656,153995420133,0.64483,0.42840,0.74396,0.24260,3,1,0.49392,0.36093,1,-0.61667,0.09000,0,,0.22926,0.44473,26.60605,1.14952,1,0.48290,0.40718,20.50709,1.14181,1,0,0.00000,11,,
2,NewMedia2,105,1.69810,153996879357,0.31411,0.43801,1.05122,0.64688,4,1,0.42031,0.43991,1,-0.61667,0.09000,0,,0.22827,0.44447,24.31112,1.06719,1,0.48341,0.40689,21.04696,1.06719,1,0,0.00000,11,,
2,NewMedia2,152,2.45836,153998438473,0.41643,0.43324,1.71434,0.74402,5,1,0.59832,0.39483,1,-0.61667,0.09000,0,,0.23126,0.44478,27.41098,1.10673,1,0.48653,0.40689,26.54077,1.11542,1,0,0.00000,11,,
2,NewMedia2,172,2.78178,153999101760,0.63670,0.44996,2.52316,0.25862,6,1,0.67554,0.46575,1,-0.61667,0.09000,0,,0.23586,0.44447,27.54332,1.09034,1,0.49127,0.40678,27.29159,1.10674,1,0,0.00000,11,,
2,NewMedia2,186,3.00844,153999566590,0.56786,0.45491,2.79803,0.21040,7,1,0.54458,0.45978,1,-0.61667,0.09000,0,,0.23119,0.44426,26.27599,1.09110,1,0.48690,0.40678,26.52431,1.08338,1,0,0.00000,11,,
3,black,0,0.00000,153999599673,0.56632,0.45522,0.00000,0.00000,1,1,0.54484,0.45951,1,-0.61667,0.09000,0,,0.23123,0.44426,26.29492,1.08338,1,0.48686,0.40679,26.41884,1.09206,1,0,0.00000,11,,
3,black,13,0.21033,154000030982,0.37908,0.44144,0.01610,0.19423,2,1,0.30005,0.45893,1,-0.61667,0.09000,0,,0.22270,0.44581,24.19698,1.10131,1,0.47826,0.40817,26.83039,1.08491,1,0,0.00000,11,,
3,black,33,0.53377,154000694287,0.31353,0.43758,0.22647,0.30730,3,1,0.31804,0.43574,1,-0.61667,0.09000,0,,0.22293,0.44457,24.88981,1.10674,1,0.47869,0.40710,27.84018,1.09806,1,0,0.00000,11,,
4,cross,15,0.24261,154001224882,0.32388,0.43205,0.00000,0.24261,1,1,0.41971,0.43097,1,-0.61667,0.09000,0,,0.22707,0.44583,26.61264,1.08299,1,0.48237,0.40830,25.74250,1.08299,1,0,0.00000,11,,
5,NewMedia2,18,0.29068,154002452338,0.47443,0.42528,0.00000,0.29068,1,1,0.38913,0.42678,1,-0.61667,0.09000,0,,0.23112,0.44464,25.55223,1.06719,1,0.48670,0.40914,25.69224,1.06719,1,0,0.00000,10,,
5,NewMedia2,34,0.54941,154002982934,0.46001,0.42687,0.30681,0.24260,2,1,0.52252,0.45052,1,-0.61667,0.09000,0,,0.23572,0.44565,23.83208,1.09052,1,0.49121,0.41020,24.51663,1.09052,1,0,0.00000,10,,
5,NewMedia2,74,1.19649,154004309968,0.70387,0.45640,0.61421,0.58228,3,1,0.78011,0.47879,1,-0.61667,0.09000,0,,0.24107,0.44679,23.92311,1.05984,1,0.49629,0.41052,24.58647,1.06756,1,0,0.00000,10,,
5,NewMedia2,93,1.50377,154004940144,0.74843,0.47168,1.21260,0.29117,4,1,0.45877,0.47126,1,-0.61667,0.09000,0,,0.23132,0.44573,23.03618,1.04459,1,0.48707,0.40876,20.99672,1.04459,1,0,0.00000,10,,
5,NewMedia2,185,2.99176,154007991675,0.32254,0.43587,1.56842,1.42334,5,1,0.32259,0.43407,1,-0.61667,0.09000,0,,0.21681,0.44499,24.22988,1.12410,1,0.47285,0.40899,25.13060,1.11542,1,0,0.00000,9,,
6,black,13,0.21028,154008455968,0.32299,0.43495,0.00000,0.21028,1,1,0.32314,0.42843,0,-0.61667,0.09000,0,,0.21613,0.44418,23.54905,1.07660,0,0.47303,0.41024,25.88916,1.06792,0,29,0.00000,9,,
6,black,33,0.53375,154009119346,0.42027,0.44891,0.42061,0.11314,2,1,0.58467,0.46157,1,-0.61667,0.09000,0,,0.23355,0.43956,25.34767,1.09245,1,0.48947,0.40901,25.83405,1.07605,1,0,0.00000,9,,
7,cross,5,0.08095,154009318501,0.48932,0.44442,0.00000,0.08095,1,1,0.57557,0.44908,1,-0.61667,0.09000,0,,0.23731,0.44047,25.49449,1.10653,1,0.49385,0.41047,26.13542,1.10653,1,0,0.00000,9,,
7,cross,25,0.40440,154009981850,0.53587,0.44330,0.09709,0.30731,2,1,0.47747,0.45641,1,-0.61667,0.09000,0,,0.23518,0.44269,27.39533,1.08299,1,0.49125,0.40973,27.39078,1.08299,1,0,0.00000,9,,
7,cross,32,0.51758,154010213962,0.48838,0.43662,0.42056,0.09702,3,1,0.46919,0.46303,1,-0.61667,0.09000,0,,0.23273,0.44381,27.46745,1.06850,1,0.48879,0.40952,27.52381,1.06078,1,0,0.00000,9,,
8,NewMedia2,25,0.40442,154011076518,0.47899,0.43536,0.00000,0.40442,1,1,0.45021,0.45343,0,-0.61667,0.09000,0,,0.22912,0.44473,23.73249,1.06719,0,0.48629,0.40901,24.85225,1.06719,0,30,0.00000,9,,
8,NewMedia2,65,1.05144,154012403426,0.78187,0.48657,0.51761,0.53383,2,1,0.77189,0.48949,1,-0.61667,0.09000,0,,0.24204,0.44664,22.96572,1.04459,1,0.49778,0.41124,23.56836,1.04459,1,0,0.00000,10,,
8,NewMedia2,97,1.56903,154013464897,0.76667,0.48063,1.06758,0.50145,3,1,0.66182,0.45915,1,-0.61667,0.09000,0,,0.23802,0.45112,23.14543,1.06020,1,0.49278,0.40831,23.91619,1.05249,1,0,0.00000,10,,
8,NewMedia2,110,1.77928,154013896076,0.50000,0.45031,1.58524,0.19405,4,1,0.28788,0.46691,1,-0.61667,0.09000,0,,0.22167,0.45604,22.68728,1.07509,1,0.47484,0.40791,25.14151,1.08281,1,0,0.00000,10,,
8,NewMedia2,186,3.00856,154016417070,0.31003,0.44391,1.84389,1.16467,5,1,0.31421,0.45444,1,-0.61667,0.09000,0,,0.22921,0.44384,23.58174,1.06774,1,0.48577,0.41249,25.23493,1.07545,1,0,0.00000,10,,
9,black,28,0.45290,154017378925,0.31507,0.44687,0.00000,0.45290,1,1,0.50410,0.37822,1,-0.61667,0.09000,0,,0.24626,0.44061,24.75647,1.13331,1,0.50355,0.41292,24.06936,1.14199,1,0,0.00000,10,,
10,cross,20,0.32368,154018208528,0.55014,0.42636,0.00000,0.32368,2,1,0.48267,0.41892,1,-0.61667,0.09000,0,,0.23788,0.44374,26.51680,1.11595,1,0.49418,0.40972,25.84039,1.11595,1,0,0.00000,9,,
10,cross,32,0.51756,154018606111,0.49522,0.43256,0.33971,0.17786,3,1,0.49065,0.39493,1,-0.61667,0.09000,0,,0.23212,0.44859,26.33667,1.10885,1,0.48820,0.41120,26.13806,1.10885,1,0,0.00000,9,,
11,NewMedia2,25,0.40442,154019468733,0.48481,0.42868,0.00000,0.40442,1,1,0.27786,0.47521,1,-0.61667,0.09000,0,,0.22783,0.45088,23.35556,1.06850,1,0.48346,0.41325,25.29368,1.07622,1,0,0.00000,9,,
11,NewMedia2,57,0.92207,154020530337,0.26658,0.46053,0.46922,0.45285,2,1,0.28431,0.44902,1,-0.61667,0.09000,0,,0.22874,0.44912,22.90608,1.09806,1,0.48463,0.41194,24.07404,1.09806,1,0,0.00000,9,,
11,NewMedia2,90,1.45573,154021624746,0.31145,0.44495,0.93806,0.51767,3,1,0.65258,0.45097,1,-0.61667,0.09000,0,,0.24379,0.45003,24.10067,1.06719,1,0.49914,0.41117,24.77694,1.06719,1,0,0.00000,9,,
11,NewMedia2,186,3.00847,154024809067,0.67699,0.46956,1.52032,1.48814,4,1,0.66283,0.42764,1,-0.61667,0.09000,0,,0.25182,0.44802,24.88713,1.09806,1,0.50878,0.41506,24.90191,1.09806,1,0,0.00000,9,,
12,black,23,0.37196,154025605056,0.66935,0.45801,0.00000,0.37196,1,1,0.45734,0.45781,1,-0.61667,0.09000,0,,0.24447,0.44690,24.96158,1.06720,1,0.50207,0.41273,22.76315,1.06720,1,0,0.00000,9,,
12,black,32,0.51758,154025903687,0.40492,0.41422,0.43680,0.08078,2,1,0.40692,0.41155,1,-0.61667,0.09000,0,,0.24049,0.44717,25.20019,1.09034,1,0.49735,0.41260,25.06258,1.08263,1,0,0.00000,9,,
